title,num_citations,year,excerpt,url,url_pdf,indicator,key_words,doi,authors,issued,abstract,link,is_referenced_by_count
A comparative thermoeconomic analysis of fourth generation and fifth generation district heating and cooling networks,29,2023,"… Detailed characterization of the dynamic thermal and electric … Moreover, this grid is connected to the national electric grid … the design of 4th and 5th generation district heating networks, …",https://www.sciencedirect.com/science/article/pii/S0360544223019552,,0,"5th generation, thermal grid",10.1016/j.energy.2023.128561,Francesco Calise; Francesco Liberato Cappiello; Luca Cimmino; Massimo Dentice d’Accadia; Maria Vicidomini,2023-12,,https://api.elsevier.com/content/article/PII:S0360544223019552?httpAccept=text/xml,22
Fifth-generation district heating and cooling systems: A review of recent advancements and implementation barriers,112,2023,… are mainly powered by fossil fuels and suffer from significant thermal losses due to high operating temperatures. Fifth-generation district heating and cooling systems (5GDHC) is a …,https://www.sciencedirect.com/science/article/pii/S1364032122008784,,0,"5th generation, thermal grid",10.1016/j.rser.2022.112997,Kristian Gjoka; Behzad Rismanchi; Robert H. Crawford,2023-1,,https://api.elsevier.com/content/article/PII:S1364032122008784?httpAccept=text/xml,67
Influence of building heat distribution temperatures on the energy performance and sizing of 5th generation district heating and cooling networks,31,2023,… The authors simulated a district network of 2200 houses and evaluated the flexibility offered to the grid with response to thermal comfort (internal temperature between 20 and 24 C). …,https://www.sciencedirect.com/science/article/pii/S0360544223008514,,0,"5th generation, thermal grid",10.1016/j.energy.2023.127457,Alessandro Maccarini; Artem Sotnikov; Tobias Sommer; Michael Wetter; Matthias Sulzer; Alireza Afshari,2023-7,,https://api.elsevier.com/content/article/PII:S0360544223008514?httpAccept=text/xml,21
5th generation district heating and cooling network planning: A Dantzig–Wolfe decomposition approach,30,2023,… The building constraints are only coupled with the rest of the problem by the decision variables that describe the energy imports from the electric and thermal grid. A method to solve …,https://www.sciencedirect.com/science/article/pii/S0196890422013711,,0,"5th generation, thermal grid",10.1016/j.enconman.2022.116593,Marco Wirtz; Miguel Heleno; Alexandre Moreira; Thomas Schreiber; Dirk Müller,2023-1,,https://api.elsevier.com/content/article/PII:S0196890422013711?httpAccept=text/xml,18
Modelling of 4th generation district heating systems integrated with different thermal energy storage technologies–Methodology,31,2023,… the simulation and analysis of the performance of a district heating (DH) system supplied with heat generated from renewable sources (RHS) and a selection of different types of thermal …,https://www.sciencedirect.com/science/article/pii/S0196890422013231,,0,"5th generation, thermal grid",10.1016/j.enconman.2022.116545,M.A. Pans; G. Claudio; P.C. Eames,2023-1,,https://api.elsevier.com/content/article/PII:S0196890422013231?httpAccept=text/xml,15
Design of a 5th generation district heating substation prototype for a real case study,7,2023,… the grid substation due to the inability to directly couple the grid with … This paper presents a detailed design of a 5th generation … grids and district heating networks to create smart thermal …,https://www.mdpi.com/2071-1050/15/4/2972,,0,"5th generation, thermal grid",10.3390/su15042972,Gianni Martinazzoli; Daniele Pasinelli; Adriano Maria Lezzi; Mariagrazia Pilotelli,2/7/2023,"<jats:p>The evolution of district heating networks is moving toward low temperatures in heat distribution with so called 4th generation networks. However, the lowest heat transfer fluid temperatures in district heating are achieved through ultra-low temperature networks, referred to as 5th generation district heating networks (5GDHNs). Low temperatures in heat distribution results in an extremely different configuration of 5GDHN compared to traditional district heating network, especially in the grid substation due to the inability to directly couple the grid with the buildings. This paper presents a detailed design of a 5th generation substation prototype, which is carried out to verify the proper operation and monitor the performance of this type of substation in a real case study. The prototype is fed by low-temperature waste heat, currently dissipated through evaporative towers, and will be built in the city of Brescia, Italy. The layout of the substation prototype, consisting of a bidirectional pumping system, a reversible water-to-water heat pump, an inertial thermal energy storage and a heat exchanger, is presented. An analysis is performed to figure out which refrigerant offers the best performance of the heat pump. In addition, fixed the refrigerant, the performance of the grid connected heat pump is found to be increased from 29.5% to 55.5% for both heating and cooling compared with a stand-alone air-to-water heat pump solution. Finally, the process flow diagram and the piping and instrumentation diagram of the substation are presented and commented.</jats:p>",https://www.mdpi.com/2071-1050/15/4/2972/pdf,4
Techno-economic analysis of a 5th generation district heating system using thermo-hydraulic model: A multi-objective analysis for a case study in heating …,21,2023,"… renewable electricity mix in the grid, the cost and emission of electricity are likely to decrease significantly, which can be favourable to low-temperature thermal grids. Integration of PV …",https://www.sciencedirect.com/science/article/pii/S0378778823005777,,0,"5th generation, thermal grid",10.1016/j.enbuild.2023.113347,Puneet Saini; Pei Huang; Frank fiedler; Anna Volkova; Xingxing Zhang,2023-10,,https://api.elsevier.com/content/article/PII:S0378778823005777?httpAccept=text/xml,25
5th generation district heating and cooling networks as a heat source for geothermal heat pumps,7,2023,"… in smart thermal grids with almost no heat losses [3]. In those smart thermal grids renewable … as a heat storage [3, 5]. In Table 1 the main features and differences from the different DH …",https://link.springer.com/chapter/10.1007/978-3-031-24524-4_9,,0,"5th generation, thermal grid",10.1007/978-3-031-24524-4_9,Robin Zeh; Matthias Schmid; Björn Ohlsen; Stefan Venczel; Volker Stockinger,2023,,https://link.springer.com/content/pdf/10.1007/978-3-031-24524-4_9,1
Multi-period design optimization for a 5th generation district heating and cooling network,21,2023,… the public grid e el - grid CO 2 changes over the years since it depends on the national grid mix. … to use waste heat from an industrial site in order to balance the thermal network. For …,https://www.sciencedirect.com/science/article/pii/S0378778823000889,,0,"5th generation, thermal grid",10.1016/j.enbuild.2023.112858,Marco Wirtz; Miguel Heleno; Hannah Romberg; Thomas Schreiber; Dirk Müller,2023-4,,https://api.elsevier.com/content/article/PII:S0378778823000889?httpAccept=text/xml,14
Techno-economic analysis of fifth-generation district heating and cooling combined with seasonal borehole thermal energy storage,33,2023,Fifth-generation district heating and cooling (5GDHC) is a promising solution to decarbonise future thermal energy systems. This paper investigates the potential of 5GDHC integrated …,https://www.sciencedirect.com/science/article/pii/S0360544223027767,,0,"5th generation, thermal grid",10.1016/j.energy.2023.129382,Xiang Li; Selin Yilmaz; Martin K. Patel; Jonathan Chambers,2023-12,,https://api.elsevier.com/content/article/PII:S0360544223027767?httpAccept=text/xml,24
