title,num_citations,year,excerpt,url,url_pdf,indicator,key_words
Model predictive control for a solar assisted ground source heat pump system,91,2018,"… (temperature difference with no changes in the phase) [5]. Other storage solutions exist such as borehole thermal energy storage, building mass, and phase change materials [6], …",https://www.sciencedirect.com/science/article/pii/S0360544218304882,,0,"heat pump, phase change material, model predictive control"
Hybrid model predictive control of a residential HVAC system with on-site thermal energy generation and storage,148,2017,… thermal (PVT) collector and a phase change material (PCM) thermal storage integrated with the air-handling unit (AHU) of a ducted reverse-cycle heat pump system. The simulation and …,https://www.sciencedirect.com/science/article/pii/S0306261916316269,,0,"heat pump, phase change material, model predictive control"
Performance of heat pump integrated phase change material thermal storage for electric load shifting in building demand side management,104,2019,… The model's prediction of total heat flow was therefore compared against experimental data from literature to show applicability to different climates. The experimental results from …,https://www.sciencedirect.com/science/article/pii/S0378778818333115,,0,"heat pump, phase change material, model predictive control"
Model predictive control for thermal energy storage and thermal comfort optimization of building demand response in smart grids,152,2019,"… A model predictive control (MPC) approach, with the features of shrunk prediction horizon, self-correction and simple parameter determination of embedded models, is therefore …",https://www.sciencedirect.com/science/article/pii/S0306261919304441,,0,"heat pump, phase change material, model predictive control"
Predictive rule-based control to activate the energy flexibility of Norwegian residential buildings: Case of an air-source heat pump and direct electric heating,109,2019,"… emissions, it should therefore be investigated whether model-predictive control could generate significant benefit even though the price and CO 2eq. signals have limited fluctuations in …",https://www.sciencedirect.com/science/article/pii/S0306261918318932,,0,"heat pump, phase change material, model predictive control"
Price-responsive model predictive control of floor heating systems for demand response using building thermal mass,126,2019,"… the discrete-time state-space model; u k is the input heating from inlet water to pipe plane at the time step k; COP is the coefficient of performance of the heat pump, which varies with the …",https://www.sciencedirect.com/science/article/pii/S1359431118361921,,0,"heat pump, phase change material, model predictive control"
An integrated model predictive control approach for optimal HVAC and energy storage operation in large-scale buildings,104,2019,"… HVAC system powered by heat pumps (HPs), a … , heat pumps, heater actuators, storage devices, and PV generation facilities are managed in an optimal fashion by a centralized control …",https://www.sciencedirect.com/science/article/pii/S030626191930162X,,0,"heat pump, phase change material, model predictive control"
Demand-response in building heating systems: A Model Predictive Control approach,193,2016,"… a centralized heating … heating devices, eg, electrical radiant floors or heat pumps. Assume that each zone is equipped with a temperature sensor connected to the centralized controller …",https://www.sciencedirect.com/science/article/pii/S0306261916300757,,0,"heat pump, phase change material, model predictive control"
Review of control strategies for improving the energy flexibility provided by heat pump systems in buildings,194,2019,"… heat pump is changed, according to the predefined strategy. On the other hand, Model Predictive Control … Many other types of thermal storage do exist, such as Phase Change Materials …",https://www.sciencedirect.com/science/article/pii/S0959152418300489,,0,"heat pump, phase change material, model predictive control"
"Model predictive control of heating, ventilation, and air conditioning (HVAC) systems: A state-of-the-art review",105,2022,… is compared to a data-driven MPC utilizing a single heat pump air conditioning system placed in a school lab. MPC based on learning lowered energy usage by 25%–65% when …,https://www.sciencedirect.com/science/article/pii/S2352710222010750,,0,"heat pump, phase change material, model predictive control"
Model-based predictive control of an ice storage device in a building cooling system,149,2013,"… ) systems, control techniques based on modelling, prediction and … Although the specific wording “model predictive control” has … Performance tables of heat pumps are typically presented …",https://www.sciencedirect.com/science/article/pii/S0306261913005047,,0,"heat pump, phase change material, model predictive control"
Nonlinear model predictive control for thermal management in plug-in hybrid electric vehicles,101,2016,"… as nonlinear model predictive control (NMPC). Through the combination of the model and the … in advanced vehicles using phase change materials,” World Elect. Vehicle J., vol. 2, no. …",https://ieeexplore.ieee.org/abstract/document/7529090/,,0,"heat pump, phase change material, model predictive control"
