title,num_citations,year,excerpt,url,url_pdf,indicator,key_words
Domestic demand-side management (DSM): Role of heat pumps and thermal energy storage (TES) systems,479,2013,… demand-side management (DSM). This paper analyzes heat pumps with radiators or underfloor heating distribution systems coupled with TES with a view to showing how a heat pump …,https://www.sciencedirect.com/science/article/pii/S1359431112006357,,0,"heat pump, demand side management"
Demand response and other demand side management techniques for district heating: A review,164,2021,… The benefits that can be obtained are both economical and environmental since both larger income from selling electricity or heat pumps adoption [49] and a highest rate of waste heat …,https://www.sciencedirect.com/science/article/pii/S0360544220325470,,0,"heat pump, demand side management"
Energy flexible building through smart demand-side management and latent heat storage,146,2018,"… can supply high energy demand and provide power flexibility along with economic savings. … demand. The heat pump was connected directly to the underfloor heating manifold, and the …",https://www.sciencedirect.com/science/article/pii/S0306261918312170,,0,"heat pump, demand side management"
Improved flexibility with large-scale variable renewable power in cities through optimal demand side management and power-to-heat conversion,172,2016,"… Throughout this paper, the heat pumps and electric boilers are dimensioned to the VRE nameplate electric power with the HP covering 50% of the maximum produced …",https://www.sciencedirect.com/science/article/pii/S0196890416307154,,0,"heat pump, demand side management"
Demand response management by means of heat pumps controlled via real time pricing,141,2015,"… of electric devices such as heat pumps, able to exploit … heat pump control strategies suitable for the integration within smart grids are presented. In particular, three heat pump control …",https://www.sciencedirect.com/science/article/pii/S0378778814011207,,0,"heat pump, demand side management"
Potential of structural thermal mass for demand-side management in dwellings,280,2013,… mass in a heat pump (HP) equipped dwelling for the heating-dominated climate of Uccle (Belgium). Thereby the activation of the structural storage capacity demands for a dynamic …,https://www.sciencedirect.com/science/article/pii/S0360132313000905,,0,"heat pump, demand side management"
Evolving practice of demand-side management,135,2017,"… In all three sectors, heat pumps are the technology with the greatest promise for saving energy and reducing CO2 emissions. In the industrial sector, electric arc furnaces have a …",https://ieeexplore.ieee.org/abstract/document/8944235/,,0,"heat pump, demand side management"
Seasonal storage and demand side management in district heating systems with demand uncertainty,46,2021,"… The fourth term is the cost associated with TES operations, while the two last terms are the electricity cost for heat pumps connected to DHW supply and uncontrollable technologies, …",https://www.sciencedirect.com/science/article/pii/S0306261920317645,,0,"heat pump, demand side management"
Thermal energy storage coupled with PV panels for demand side management of industrial building cooling loads,164,2017,"… In particular, as far as the installation of heat pumps is … units improves heat pump efficiency and reduces heat pump size by … of TES for demand side management of thermal loads, using …",https://www.sciencedirect.com/science/article/pii/S0306261916300058,,0,"heat pump, demand side management"
A review on energy storage and demand side management solutions in smart energy islands,204,2021,"… -up Electric Boilers (EBs), the use of Heat Pumps (HPs) and a mix of the two solutions. … control of the afore mentioned technologies, namely supply at demand, pre-scheduled supply …",https://www.sciencedirect.com/science/article/pii/S1364032120304731,,0,"heat pump, demand side management"
